endpoint,host,server_name,status,target
https://kusmitea.com/api/mcp,kusmitea.com,storefront-renderer,200,https://kusmitea.com/api/mcp
https://kosmos.de/api/mcp,kosmos.de,storefront-renderer,200,https://kosmos.de/api/mcp
https://lifx.com/api/mcp,lifx.com,storefront-renderer,200,https://lifx.com/api/mcp
https://leatherman.com/api/mcp,leatherman.com,storefront-renderer,200,https://leatherman.com/api/mcp
https://lightintheattic.net/api/mcp,lightintheattic.net,storefront-renderer,200,https://lightintheattic.net/api/mcp
https://lakeland.co.uk/api/mcp,lakeland.co.uk,storefront-renderer,200,https://lakeland.co.uk/api/mcp
https://lenox.com/api/mcp,lenox.com,storefront-renderer,200,https://lenox.com/api/mcp
https://levainbakery.com/api/mcp,levainbakery.com,storefront-renderer,200,https://levainbakery.com/api/mcp
https://leadershipiq.com/api/mcp,leadershipiq.com,storefront-renderer,200,https://leadershipiq.com/api/mcp
https://lamy.com/api/mcp,lamy.com,storefront-renderer,200,https://lamy.com/api/mcp
https://limitedrungames.com/api/mcp,limitedrungames.com,storefront-renderer,200,https://limitedrungames.com/api/mcp
https://lauramercier.com/api/mcp,lauramercier.com,storefront-renderer,200,https://lauramercier.com/api/mcp
https://littletikes.com/api/mcp,littletikes.com,storefront-renderer,200,https://littletikes.com/api/mcp
https://ladygaga.com/api/mcp,ladygaga.com,storefront-renderer,200,https://ladygaga.com/api/mcp
https://lordandtaylor.com/api/mcp,lordandtaylor.com,storefront-renderer,200,https://lordandtaylor.com/api/mcp
https://livingproof.com/api/mcp,livingproof.com,storefront-renderer,200,https://livingproof.com/api/mcp
https://lloydspharmacy.com/api/mcp,lloydspharmacy.com,storefront-renderer,200,https://lloydspharmacy.com/api/mcp
https://liveaquaria.com/api/mcp,liveaquaria.com,storefront-renderer,200,https://liveaquaria.com/api/mcp
https://liquiddeath.com/api/mcp,liquiddeath.com,storefront-renderer,200,https://liquiddeath.com/api/mcp
https://lodgecastiron.com/api/mcp,lodgecastiron.com,storefront-renderer,200,https://lodgecastiron.com/api/mcp
https://lionbrand.com/api/mcp,lionbrand.com,storefront-renderer,200,https://lionbrand.com/api/mcp
https://luzuk.com/api/mcp,luzuk.com,storefront-renderer,200,https://luzuk.com/api/mcp
https://lifestraw.com/api/mcp,lifestraw.com,storefront-renderer,200,https://lifestraw.com/api/mcp
https://lootcrate.com/api/mcp,lootcrate.com,storefront-renderer,200,https://lootcrate.com/api/mcp
https://magnolia.com/api/mcp,magnolia.com,storefront-renderer,200,https://magnolia.com/api/mcp
https://magnaflow.com/api/mcp,magnaflow.com,storefront-renderer,200,https://magnaflow.com/api/mcp
https://loopearplugs.com/api/mcp,loopearplugs.com,storefront-renderer,200,https://loopearplugs.com/api/mcp
https://laurenceking.com/api/mcp,laurenceking.com,storefront-renderer,200,https://laurenceking.com/api/mcp
https://makershed.com/api/mcp,makershed.com,storefront-renderer,200,https://makershed.com/api/mcp
https://magnoliabakery.com/api/mcp,magnoliabakery.com,storefront-renderer,200,https://magnoliabakery.com/api/mcp
https://luxyhair.com/api/mcp,luxyhair.com,storefront-renderer,200,https://luxyhair.com/api/mcp
https://manduka.com/api/mcp,manduka.com,storefront-renderer,200,https://manduka.com/api/mcp
https://makeblock.com/api/mcp,makeblock.com,storefront-renderer,200,https://makeblock.com/api/mcp
https://madonna.com/api/mcp,madonna.com,storefront-renderer,200,https://madonna.com/api/mcp
https://matadorrecords.com/api/mcp,matadorrecords.com,storefront-renderer,200,https://matadorrecords.com/api/mcp
https://maplin.co.uk/api/mcp,maplin.co.uk,storefront-renderer,200,https://maplin.co.uk/api/mcp
https://matchesfashion.com/api/mcp,matchesfashion.com,storefront-renderer,200,https://matchesfashion.com/api/mcp
