host,endpoint,confidence,auth,oauth_confirmed,http_status,server_name,server_version,protocol_version,capabilities,authorization_endpoint,token_endpoint,registration_endpoint,dynamic_client_registration,scopes,issuer,prm_url,www_authenticate,discovery_source,platform_auth
ovationthemes.com,https://ovationthemes.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/63368691848/oauth/authorize,https://shopify.com/authentication/63368691848/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/63368691848,https://ovationthemes.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
petersen.org,https://petersen.org/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/10712158/oauth/authorize,https://shopify.com/authentication/10712158/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/10712158,https://petersen.org/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
oscardelarenta.com,https://oscardelarenta.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/58781564989/oauth/authorize,https://shopify.com/authentication/58781564989/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/58781564989,https://oscardelarenta.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
pier1.com,https://pier1.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/43411046567/oauth/authorize,https://shopify.com/authentication/43411046567/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/43411046567,https://pier1.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
poundland.co.uk,https://poundland.co.uk/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/100084711807/oauth/authorize,https://shopify.com/authentication/100084711807/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/100084711807,https://poundland.co.uk/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
relapse.com,https://relapse.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/70023020865/oauth/authorize,https://shopify.com/authentication/70023020865/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/70023020865,https://relapse.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
qikify.com,https://qikify.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/6900023365/oauth/authorize,https://shopify.com/authentication/6900023365/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/6900023365,https://qikify.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
ruffwear.com,https://ruffwear.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://account.ruffwear.com/authentication/oauth/authorize,https://account.ruffwear.com/authentication/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/15774333,https://ruffwear.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
rachaelray.com,https://rachaelray.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/50439848118/oauth/authorize,https://shopify.com/authentication/50439848118/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/50439848118,https://rachaelray.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
roxy.com,https://roxy.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://account.roxy.com/authentication/oauth/authorize,https://account.roxy.com/authentication/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/63188992074,,,dns_apex_spray,shopify_storefront
revolutionbeauty.com,https://revolutionbeauty.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://account.revolutionbeauty.com/authentication/oauth/authorize,https://account.revolutionbeauty.com/authentication/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/100260151641,https://revolutionbeauty.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
revell.com,https://revell.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://account.revell.com/authentication/oauth/authorize,https://account.revell.com/authentication/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/75160944854,https://revell.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
revlon.com,https://revlon.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://account.revlon.com/authentication/oauth/authorize,https://account.revlon.com/authentication/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/65013285059,https://revlon.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
robbiewilliams.com,https://robbiewilliams.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/19437457/oauth/authorize,https://shopify.com/authentication/19437457/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/19437457,https://robbiewilliams.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
rosieanimaladoption.ca,https://rosieanimaladoption.ca/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/76818481391/oauth/authorize,https://shopify.com/authentication/76818481391/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/76818481391,https://rosieanimaladoption.ca/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
robo3d.com,https://robo3d.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/8717870/oauth/authorize,https://shopify.com/authentication/8717870/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/8717870,https://robo3d.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
sawsoul.com,https://sawsoul.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/96228278571/oauth/authorize,https://shopify.com/authentication/96228278571/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/96228278571,https://sawsoul.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
saltandstraw.com,https://saltandstraw.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/9228157033/oauth/authorize,https://shopify.com/authentication/9228157033/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/9228157033,https://saltandstraw.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
sexdollpartner.com,https://sexdollpartner.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/57217089744/oauth/authorize,https://shopify.com/authentication/57217089744/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/57217089744,https://sexdollpartner.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
seatosummit.com,https://seatosummit.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://account.seatosummit.com/authentication/oauth/authorize,https://account.seatosummit.com/authentication/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/24672501,https://seatosummit.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
shrinetheme.com,https://shrinetheme.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://account.shrinesolutions.com/authentication/oauth/authorize,https://account.shrinesolutions.com/authentication/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/72674705737,https://shrinetheme.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
satechi.net,https://satechi.net/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/15204366/oauth/authorize,https://shopify.com/authentication/15204366/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/15204366,https://satechi.net/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
slayer.net,https://slayer.net/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/56331534402/oauth/authorize,https://shopify.com/authentication/56331534402/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/56331534402,https://slayer.net/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
shops.myshopify.com,https://shops.myshopify.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/2328/oauth/authorize,https://shopify.com/authentication/2328/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/2328,https://shops.myshopify.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
