root_domain,host,endpoint,server_name,server_version,protocol_version,authorization_endpoint,token_endpoint,registration_endpoint,dynamic_client_registration,issuer,prm_url,scopes,http_status,verdict
lyft.com,api.lyft.com,https://api.lyft.com/,,,,https://api.lyft.com/oauth/authorize,https://api.lyft.com/oauth/token,,False,https://api.lyft.com,,"autonomouspartners.set,driver.details.address,driver.details.basic,driver.details.license,drivers.tracking.read,enterprise.support_tickets.create,external_supply_integrator,loyalty_tier,lus_partnership.account_management,lyft_enterprise.admin_access,lyft_rewards.usage,lyft_rider_mcp.read",403,auth_required
magicschool.ai,app.magicschool.ai,https://app.magicschool.ai/api/mcp,,,,https://tnupzxfjruksulvfyanl.supabase.co/auth/v1/oauth/authorize,https://tnupzxfjruksulvfyanl.supabase.co/auth/v1/oauth/token,,False,https://tnupzxfjruksulvfyanl.supabase.co/auth/v1,https://app.magicschool.ai/.well-known/oauth-protected-resource,"openid,email,profile",401,auth_required
nexudus.com,mcp.nexudus.com,https://mcp.nexudus.com/,,,,https://mcp.nexudus.com/auth/authorize,https://mcp.nexudus.com/auth/token,https://mcp.nexudus.com/auth/register,True,https://mcp.nexudus.com,https://mcp.nexudus.com/.well-known/oauth-protected-resource,,401,auth_required
opsgenie.com,docs.opsgenie.com,https://docs.opsgenie.com/mcp,,,,https://dash.readme.com/oidc/auth,https://dash.readme.com/oidc/token,https://dash.readme.com/oidc/reg,True,https://dash.readme.com/oidc,https://docs.opsgenie.com/.well-known/oauth-protected-resource/mcp,"openid,offline_access,mcp:read,mcp:write,email,profile",401,auth_required
perplexity.ai,perplexity.ai,https://perplexity.ai/mcp,,,,https://www.perplexity.ai/rest/computer/mcp/authorize,https://www.perplexity.ai/rest/computer/mcp/token,https://www.perplexity.ai/rest/computer/mcp/register,True,https://www.perplexity.ai/rest/computer/mcp,,asi:query,403,auth_required
progus.com,subscriptions.mcp.progus.com,https://subscriptions.mcp.progus.com/mcp,,,,https://subscriptions.mcp.progus.com/authorize,https://subscriptions.mcp.progus.com/token,https://subscriptions.mcp.progus.com/register,True,https://subscriptions.mcp.progus.com,https://subscriptions.mcp.progus.com/.well-known/oauth-protected-resource,"subscriptions:read,subscriptions:write",401,auth_required
qa.com,mcp.platform.qa.com,https://mcp.platform.qa.com/mcp,,,,https://mcp.platform.qa.com/authorize,https://mcp.platform.qa.com/token,https://mcp.platform.qa.com/register,True,https://mcp.platform.qa.com/,https://mcp.platform.qa.com/.well-known/oauth-protected-resource/mcp,"openid,offline_access,legacy:read,legacy:write",401,auth_required
relativity.one,epiqglobal.relativity.one,https://epiqglobal.relativity.one/mcp,,,,https://epiqglobal.relativity.one/Relativity/Identity/connect/authorize,https://epiqglobal.relativity.one/Relativity/Identity/connect/token,,False,https://epiqglobal.relativity.one/mcp,https://epiqglobal.relativity.one/mcp/.well-known/oauth-protected-resource,"SystemUserInfo,UserInfoAccess",401,auth_required
robinhood.com,agent.robinhood.com,https://agent.robinhood.com/mcp/trading,,,,https://robinhood.com/oauth,https://api.robinhood.com/oauth2/token/,https://agent.robinhood.com/oauth/trading/register,True,https://agent.robinhood.com/mcp/trading,https://agent.robinhood.com/.well-known/oauth-protected-resource/mcp/trading,internal,401,auth_required
robinhood.com,banking-agent.robinhood.com,https://banking-agent.robinhood.com/mcp/banking,,,,https://robinhood.com/oauth,https://api.robinhood.com/oauth2/token/,https://agent.robinhood.com/oauth/trading/register,True,https://agent.robinhood.com/mcp/trading,https://banking-agent.robinhood.com/.well-known/oauth-protected-resource/mcp/banking,credit-card,401,auth_required
rollbar.com,docs.rollbar.com,https://docs.rollbar.com/mcp,,,,https://dash.readme.com/oidc/auth,https://dash.readme.com/oidc/token,https://dash.readme.com/oidc/reg,True,https://dash.readme.com/oidc,https://docs.rollbar.com/.well-known/oauth-protected-resource/mcp,"openid,offline_access,mcp:read,mcp:write,email,profile",401,auth_required
sanctionscanner.com,api.sanctionscanner.com,https://api.sanctionscanner.com/mcp,,,,https://api.sanctionscanner.com/oauth/authorize,https://api.sanctionscanner.com/oauth/token,https://api.sanctionscanner.com/oauth/register,True,https://api.sanctionscanner.com,https://api.sanctionscanner.com/.well-known/oauth-protected-resource,,401,auth_required
seemplicity.io,mcp.seemplicity.io,https://mcp.seemplicity.io/mcp,Seemplicity MCP,,,https://mcp.seemplicity.io/authorize,https://mcp.seemplicity.io/token,https://mcp.seemplicity.io/register,True,https://mcp.seemplicity.io,https://mcp.seemplicity.io/.well-known/oauth-protected-resource,"openid,email",401,auth_required
sentry.dev,mcp.sentry.dev,https://mcp.sentry.dev/mcp,,,,https://mcp.sentry.dev/oauth/authorize,https://mcp.sentry.dev/oauth/token,https://mcp.sentry.dev/oauth/register,True,https://mcp.sentry.dev,https://mcp.sentry.dev/.well-known/oauth-protected-resource/mcp,"org:read,project:write,team:write,event:write",401,auth_required
sfdcfc.net,mai-mce-mcp-cdp1.sfdc-yfeipo.svc.sfdcfc.net,https://mai-mce-mcp-cdp1.sfdc-yfeipo.svc.sfdcfc.net/t/{tenantID}/c/{clientID}/api/mcp,,,,https://mai-mce-mcp-cdp1.sfdc-yfeipo.svc.sfdcfc.net/t/{tenantID}/c/{clientID}/api/mcp/authorize,https://mai-mce-mcp-cdp1.sfdc-yfeipo.svc.sfdcfc.net/t/{tenantID}/c/{clientID}/api/mcp/token,https://mai-mce-mcp-cdp1.sfdc-yfeipo.svc.sfdcfc.net/t/{tenantID}/c/{clientID}/api/mcp/register,True,https://mai-mce-mcp-cdp1.sfdc-yfeipo.svc.sfdcfc.net/t/{tenantID}/c/{clientID}/api/mcp,https://mai-mce-mcp-cdp1.sfdc-yfeipo.svc.sfdcfc.net/.well-known/oauth-protected-resource/t/%7BtenantID%7D/c/%7BclientID%7D/api/mcp,,401,auth_required
sfdcfc.net,mai-mce-mcp-cdp1.sfdc-yzvdd4.svc.sfdcfc.net,https://mai-mce-mcp-cdp1.sfdc-yzvdd4.svc.sfdcfc.net/t/{tenantID}/c/{clientID}/api/mcp,,,,https://mai-mce-mcp-cdp1.sfdc-yzvdd4.svc.sfdcfc.net/t/{tenantID}/c/{clientID}/api/mcp/authorize,https://mai-mce-mcp-cdp1.sfdc-yzvdd4.svc.sfdcfc.net/t/{tenantID}/c/{clientID}/api/mcp/token,https://mai-mce-mcp-cdp1.sfdc-yzvdd4.svc.sfdcfc.net/t/{tenantID}/c/{clientID}/api/mcp/register,True,https://mai-mce-mcp-cdp1.sfdc-yzvdd4.svc.sfdcfc.net/t/{tenantID}/c/{clientID}/api/mcp,https://mai-mce-mcp-cdp1.sfdc-yzvdd4.svc.sfdcfc.net/.well-known/oauth-protected-resource/t/%7BtenantID%7D/c/%7BclientID%7D/api/mcp,,401,auth_required
